sum_muni_id,sum_%_single_family,sum_hh,sum_fhh,sum_fhh2,sum_fhh3,sum_fhh4,sum_fhh5,sum_fhh6,sum_fhh7o,sum_nfhh,sum_nfhh1,sum_nfhh2,sum_nfhh3,sum_nfhh4,sum_nfhh5,sum_nfhh6,sum_nfhh7o
37,0.0,1026.0,105.0,31.0,27.0,32.0,12.0,2.0,1.0,17.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0
35,0.0,561.0,328.0,148.0,82.0,55.0,24.0,13.0,6.0,316.0,284.0,30.0,1.0,1.0,0.0,0.0,0.0
133,0.0,414.0,212.0,72.0,59.0,49.0,19.0,9.0,4.0,84.0,63.0,20.0,0.0,0.0,0.0,1.0,0.0
164,0.0,788.0,162.0,62.0,31.0,47.0,17.0,5.0,0.0,25.0,22.0,2.0,0.0,1.0,0.0,0.0,0.0
49,0.0,783.0,73.0,31.0,24.0,10.0,6.0,2.0,0.0,46.0,34.0,10.0,1.0,1.0,0.0,0.0,0.0
171,0.0,321.0,53.0,19.0,14.0,14.0,2.0,3.0,1.0,11.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
141,0.0,505.0,31.0,19.0,3.0,5.0,3.0,1.0,0.0,15.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0
315,0.0,915.0,89.0,37.0,21.0,20.0,8.0,3.0,0.0,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0
23,0.0,1070.0,257.0,119.0,55.0,66.0,12.0,2.0,3.0,91.0,78.0,12.0,0.0,0.0,1.0,0.0,0.0
71,0.0,1606.0,10.0,4.0,2.0,1.0,2.0,1.0,0.0,51.0,49.0,0.0,2.0,0.0,0.0,0.0,0.0
342,0.0,755.0,88.0,24.0,24.0,26.0,9.0,3.0,2.0,11.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0
48,0.0,797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,100.0,228.0,22.0,10.0,2.0,8.0,2.0,0.0,0.0,13.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0
144,0.0,800.0,129.0,59.0,22.0,32.0,12.0,3.0,1.0,24.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0
139,100.0,1076.0,132.0,31.0,30.0,43.0,22.0,3.0,3.0,16.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0
155,0.0,640.0,157.0,45.0,33.0,43.0,28.0,7.0,1.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0
