sum_muni_id,sum_%_single_family,sum_pop,sum_male,sum_female,sum_pop_u18,sum_pop_18_64,sum_pop_65o,sum_nhwhi,sum_nhaa,sum_nhna,sum_nhas,sum_nhpi,sum_nhoth,sum_nhmlt,sum_lat,sum_hh
252,73.2090725946021,684.0,308.0,376.0,159.0,422.0,103.0,630.0,10.0,0.0,6.0,0.0,0.0,13.0,25.0,1978.0
317,84.0042266891497,1077.0,441.0,636.0,193.0,578.0,306.0,902.0,24.0,0.0,91.0,1.0,5.0,15.0,39.0,614.0
315,0.0,288.0,135.0,153.0,86.0,159.0,43.0,277.0,0.0,0.0,3.0,0.0,1.0,0.0,7.0,915.0
185,87.2219333821032,951.0,453.0,498.0,232.0,564.0,155.0,790.0,7.0,1.0,26.0,0.0,7.0,33.0,87.0,1523.0
342,0.0,316.0,165.0,151.0,84.0,204.0,28.0,290.0,4.0,0.0,4.0,0.0,1.0,10.0,7.0,755.0
157,97.4919036334278,482.0,217.0,265.0,74.0,214.0,194.0,445.0,1.0,0.0,33.0,0.0,0.0,3.0,0.0,1830.0
99,92.7863691876401,695.0,351.0,344.0,168.0,437.0,90.0,654.0,16.0,3.0,8.0,0.0,1.0,11.0,2.0,1283.0
320,100.0,170.0,88.0,82.0,42.0,112.0,16.0,167.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,711.0
219,0.0,451.0,229.0,222.0,137.0,252.0,62.0,433.0,0.0,0.0,8.0,0.0,0.0,8.0,2.0,894.0
171,0.0,185.0,94.0,91.0,38.0,118.0,29.0,182.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,321.0
284,0.0,962.0,471.0,491.0,232.0,598.0,132.0,882.0,14.0,2.0,41.0,0.0,2.0,6.0,15.0,756.0
101,0.0,1324.0,660.0,664.0,483.0,786.0,55.0,1207.0,5.0,3.0,69.0,0.0,0.0,18.0,22.0,813.0
141,0.0,108.0,56.0,52.0,18.0,57.0,33.0,103.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,505.0
71,0.0,95.0,32.0,63.0,13.0,33.0,49.0,93.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1606.0
274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0
65,0.0,679.0,340.0,339.0,218.0,382.0,79.0,645.0,5.0,1.0,10.0,0.0,0.0,9.0,9.0,764.0
